wavelenghts,device 1,device 2,difference ,avg,max
589.02,1500.7,1499.1,1.6,,
589.5,1499.7,1498.7,1,,
589.97,1500,1500.3,0.3,,
590.45,1499.7,1500.2,0.5,,
590.93,1501,1500.9,0.1,,
591.4,1502.7,1498.9,3.8,,
591.88,1499,1498.8,0.2,,
592.35,1501,1499.8,1.2,,
592.83,1501.7,1501.6,0.1,,
593.31,1501.3,1499.4,1.9,,
593.78,1501.3,1498.4,2.9,,
594.26,1497.3,1500.7,3.4,,
594.74,1499.3,1500.4,1.1,,
595.21,1498,1499.1,1.1,,
595.69,1500.3,1500,0.3,,
596.17,1501.3,1499.3,2,,
596.64,1499.3,1497.8,1.5,,
597.12,1500.7,1501.3,0.6,,
597.6,1499,1501.2,2.2,,
598.07,1498,1500.5,2.5,,
598.55,1499.3,1501.5,2.2,,
599.03,1501.7,1500.3,1.4,,
599.5,1496.3,1500.4,4.1,,
599.98,1499.7,1500.5,0.8,,
600.46,1499.3,1496.7,2.6,,
600.94,1499,1497.1,1.9,,
601.41,1500.3,1498.4,1.9,,
601.89,1497.7,1498.7,1,,
602.37,1500.3,1499.1,1.2,,
602.84,1500,1497,3,,
603.32,1501.7,1501.2,0.5,,
603.8,1498,1499.4,1.4,,
604.28,1500.7,1499.6,1.1,,
604.75,1498.7,1498.4,0.3,,
605.23,1502,1499.7,2.3,,
605.71,1503,1500.3,2.7,,
606.19,1499.7,1500.2,0.5,,
606.66,1500,1498.8,1.2,,
607.14,1503,1500.6,2.4,,
607.62,1498,1499,1,,
608.1,1501.7,1499.6,2.1,,
608.57,1498,1498.4,0.4,,
609.05,1499.7,1499.7,0,,
609.53,1499,1501,2,,
610.01,1499.3,1502.6,3.3,,
610.49,1500.7,1500.3,0.4,,
610.96,1501.3,1501,0.3,,
611.44,1501.7,1499.3,2.4,,
611.92,1499.3,1502.3,3,,
612.4,1499.7,1498,1.7,,
612.88,1502,1497.7,4.3,,
613.35,1502,1498.3,3.7,,
613.83,1500,1500.6,0.6,,
614.31,1498.3,1500,1.7,,
614.79,1500,1499.3,0.7,,
615.27,1500,1499,1,,
615.74,1499.7,1498.7,1,,
616.22,1498.7,1500.5,1.8,,
616.7,1497.7,1497.9,0.2,,
617.18,1497.3,1498.3,1,,
617.66,1499.7,1500.2,0.5,,
618.14,1497,1500.3,3.3,,
618.62,1498,1501.3,3.3,,
619.09,1502.7,1501,1.7,,
619.57,1502,1498.9,3.1,,
620.05,1496,1499,3,,
620.53,1500,1500.8,0.8,,
621.01,1500.3,1502.5,2.2,,
621.49,1501.3,1500,1.3,,
621.97,1498.3,1500.3,2,,
622.44,1500,1499.8,0.2,,
622.92,1500.7,1501.1,0.4,,
623.4,1501,1499.3,1.7,,
623.88,1501.7,1499.9,1.8,,
624.36,1499.7,1499.7,0,,
624.84,1498.7,1499.4,0.7,,
625.32,1498.7,1499.3,0.6,,
625.8,1498,1500.8,2.8,,
626.28,1501,1504.1,3.1,,
626.76,1500.7,1503.2,2.5,,
627.24,1501.3,1499.9,1.4,,
627.71,1501,1501.8,0.8,,
628.19,1499.7,1501.2,1.5,,
628.67,1499.3,1498.3,1,,
629.15,1499.7,1499,0.7,,
629.63,1499.7,1499.3,0.4,,
630.11,1500.3,1499.9,0.4,,
630.59,1501,1500.3,0.7,,
631.07,1497.3,1500.6,3.3,,
631.55,1499.3,1498.8,0.5,,
632.03,1499,1500.2,1.2,,
632.51,1500,1500.1,0.1,,
632.99,1497.7,1499.5,1.8,,
633.47,1499.7,1500.7,1,,
633.95,1499.7,1501,1.3,,
634.43,1500.7,1500.2,0.5,,
634.91,1502,1501.8,0.2,,
635.39,1501,1500.8,0.2,,
635.87,1499.7,1498.1,1.6,,
636.35,1500.7,1500.8,0.1,,
636.83,1500.7,1501.8,1.1,,
637.31,1500,1498.2,1.8,,
637.79,1499.3,1498.5,0.8,,
638.27,1500,1498.5,1.5,,
638.75,1499.7,1499.8,0.1,,
639.23,1501,1499.1,1.9,,
639.71,1499,1498.9,0.1,,
640.19,1498.7,1499.9,1.2,,
640.67,1502.3,1499.4,2.9,,
641.15,1499.3,1500.7,1.4,,
641.63,1500.3,1501.8,1.5,,
642.11,1498,1500.9,2.9,,
642.59,1498,1499.2,1.2,,
643.07,1500,1498.4,1.6,,
643.55,1500.3,1498.8,1.5,,
644.03,1497.7,1500.1,2.4,,
644.51,1499.3,1500.2,0.9,,
644.99,1500.3,1500.9,0.6,,
645.47,1501.7,1501.8,0.1,,
645.96,1498.7,1500.4,1.7,,
646.44,1500.7,1499,1.7,,
646.92,1499.7,1500.2,0.5,,
647.4,1499.3,1501.2,1.9,,
647.88,1501.7,1498.8,2.9,,
648.36,1500.3,1498.2,2.1,,
648.84,1498.7,1501.2,2.5,,
649.32,1498.7,1501.8,3.1,,
649.8,1499.3,1502.1,2.8,,
650.28,1500.3,1500.9,0.6,,
650.77,1501.3,1500.1,1.2,,
651.25,1500.7,1500.5,0.2,,
651.73,1501,1499.7,1.3,,
652.21,1501,1500.9,0.1,,
652.69,1500,1500,0,,
653.17,1497,1500.2,3.2,,
653.65,1499,1500.5,1.5,,
654.13,1500.3,1499.1,1.2,,
654.62,1498,1500.7,2.7,,
655.1,1504,1500.1,3.9,,
655.58,1499.3,1499.1,0.2,,
656.06,1500.3,1500,0.3,,
656.54,1503,1500,3,,
657.02,1499.7,1500.2,0.5,,
657.51,1502.3,1500.5,1.8,,
657.99,1500.7,1499.4,1.3,,
658.47,1499.3,1501.3,2,,
658.95,1499,1503.2,4.2,,
659.43,1500.3,1501.8,1.5,,
659.91,1498.7,1499.4,0.7,,
660.4,1499.7,1497.7,2,,
660.88,1500.3,1498.8,1.5,,
661.36,1498.7,1500,1.3,,
661.84,1498,1498.9,0.9,,
662.32,1501.7,1498.1,3.6,,
662.81,1500,1499.9,0.1,,
663.29,1499.7,1502.4,2.7,,
663.77,1498,1502,4,,
664.25,1500.3,1500.4,0.1,,
664.73,1500,1501,1,,
665.22,1499.7,1500.4,0.7,,
665.7,1501,1499.5,1.5,,
666.18,1498.3,1499.9,1.6,,
666.66,1497,1499.7,2.7,,
667.15,1502.3,1499.3,3,,
667.63,1501,1500.1,0.9,,
668.11,1501,1500.1,0.9,,
668.59,1500,1500.8,0.8,,
669.08,1500.7,1500.5,0.2,,
669.56,1498.3,1500.8,2.5,,
670.04,1500.3,1500.6,0.3,,
670.53,1499.7,1501.7,2,,
671.01,1500.3,1502,1.7,,
671.49,1499.7,1502.7,3,,
671.97,1501,1501.4,0.4,,
672.46,1500.3,1499.7,0.6,,
672.94,1499.7,1500.6,0.9,,
673.42,1499,1499.9,0.9,,
673.91,1497.3,1499.2,1.9,,
674.39,1498.7,1498.1,0.6,,
674.87,1501,1498.4,2.6,,
675.35,1500.7,1499.7,1,,
675.84,1500.7,1498.8,1.9,,
676.32,1498.3,1498.7,0.4,,
676.8,1500.7,1499.7,1,,
677.29,1499.7,1500,0.3,,
677.77,1501.7,1500.5,1.2,,
678.25,1502.7,1500.2,2.5,,
678.74,1498.3,1500.3,2,,
679.22,1501.7,1500.1,1.6,,
679.7,1498,1501.3,3.3,,
680.19,1499.7,1500,0.3,,
680.67,1502.7,1501.5,1.2,,
